time;x-coordinate of end of beam;y-coordinate of end of beam
2.439999999999992;-0.01430387338562189;-0.09218446398935148
2.4499999999999917;-0.013161839581268426;-0.08836891750384926
2.4599999999999915;-0.011957720802743082;-0.08421556627866146
2.4699999999999913;-0.01072284300209276;-0.0798188026975514
2.479999999999991;-0.009492963493428925;-0.07529685301779644
2.489999999999991;-0.008285529154087704;-0.07065468870513102
2.4999999999999907;-0.007123680554431504;-0.06586112255523605
2.5099999999999905;-0.006042576399124709;-0.06097735202061866
2.5199999999999902;-0.0050684899124275856;-0.05611313457050841
2.52999999999999;-0.004209366928215542;-0.05133752316600206
2.53999999999999;-0.0034759997424458613;-0.04679141257902454
2.5499999999999896;-0.0028623822866546667;-0.042581253100308594
2.5599999999999894;-0.0023487525281427574;-0.03864840473964642
2.569999999999989;-0.0019188670993443811;-0.03488881496191894
2.579999999999989;-0.0015533216443875883;-0.031240505059293728
2.5899999999999888;-0.001236727015353163;-0.02773513837663986
2.5999999999999885;-0.0009660859061655967;-0.024425643136729562
2.6099999999999883;-0.0007355950625367197;-0.021237822060485047
2.619999999999988;-0.0005348603721658697;-0.018099832652874293
2.629999999999988;-0.0003621164387164653;-0.0150234414222661
2.6399999999999877;-0.00021981035824328754;-0.0119764087990978
2.6499999999999875;-0.00011810210787644962;-0.009010476995975137
2.6599999999999873;-5.938048831579851e-05;-0.0063153229237125404
2.669999999999987;-2.9713015813666804e-05;-0.004029395856584178
2.679999999999987;-1.9941565592244335e-05;-0.0021501970503979887
2.6899999999999866;-2.5487268083755514e-05;-0.0006295968814060293
2.6999999999999864;-3.470580364654244e-05;0.0004958740215543756
2.709999999999986;-3.44476574363189e-05;0.0011666398125871288
2.719999999999986;-2.328304940255992e-05;0.0013599448812332523
2.7299999999999858;-1.1837212371869445e-05;0.0011046634277723138
2.7399999999999856;-5.618951255618544e-06;0.0004774281280787635
2.7499999999999853;-2.1856709139648865e-06;-0.0004173547975672256
2.759999999999985;-1.3527673251304962e-06;-0.00143428698107639
2.769999999999985;-6.774509946319663e-06;-0.002525227199119081
2.7799999999999847;-2.231494276044593e-05;-0.0038025625847337885
2.7899999999999845;-4.471486093017432e-05;-0.00533243740855901
2.7999999999999843;-7.186217653421323e-05;-0.007039994554030496
2.809999999999984;-0.00011205456216348373;-0.008910790470346474
2.819999999999984;-0.000176389906516425;-0.011015167099666288
2.8299999999999836;-0.00026824875942373295;-0.013391222912664442
2.8399999999999834;-0.00039285293683323643;-0.016135268357633327
2.849999999999983;-0.0005636120606580241;-0.019328617789897858
2.859999999999983;-0.0008003273348149112;-0.02296341939112565
2.869999999999983;-0.0011196620487151007;-0.02694530508297588
2.8799999999999826;-0.0015207127518474576;-0.03110280143976947
2.8899999999999824;-0.0020050468804893684;-0.03538474607797211
2.899999999999982;-0.002583389116844088;-0.03983302952365648
2.909999999999982;-0.0032503100049793656;-0.04438567648876254
2.9199999999999817;-0.003973309696161112;-0.048922293535346904
2.9299999999999815;-0.004726477136344376;-0.053364890489238336
2.9399999999999813;-0.00550783142897696;-0.057675999173404636
2.949999999999981;-0.006314447675263089;-0.06182158598480283
2.959999999999981;-0.007147957515822453;-0.06586257129875671
2.9699999999999807;-0.008032293162825605;-0.06996242147984949
2.9799999999999804;-0.008988842480779021;-0.0741536192984685
2.9899999999999802;-0.010035792679951494;-0.07837157686695
2.99999999999998;-0.011172110209027423;-0.08257718055707337
3.00999999999998;-0.012387943628026827;-0.08677217827901501
